 i   2*Tz    i_sp      en_sp      lam      en_phon
  443   -1    4 -15.8283318030  29.67566
  444   -1    4 -15.8283318031  29.75003
  445   -1    4 -15.8283318032  29.79610
  446   -1    4 -15.8283318033  29.92575
  447   -1    4 -15.8283318052  30.00204
  448   -1    4 -15.8283318053  30.44987
  449   -1    4 -15.8283318054  30.06189
  450   -1    4 -15.8283318055  30.42646
  451   -1    4 -15.8283318056  30.10374
  452   -1    4 -15.8283318057  30.13755
  453   -1    4 -15.8283318058  30.14652
  454   -1    4 -15.8283318060  30.28248
  455   -1    4 -15.8283318061  30.30074
  456   -1    4 -15.8283318062  30.32293
  457   -1    4 -15.8283318108  30.51401
  458   -1    4 -15.8283318109  30.68844
  459   -1    4 -15.8283318110  30.63594
  460   -1    4 -15.8283318112  30.50701
  461   -1    4 -15.8283318121  31.05117
  462   -1    4 -15.8283318122  30.81957
  463   -1    4 -15.8283318123  30.72907
  464   -1    4 -15.8283318124  30.91963
  465   -1    4 -15.8283318125  30.95689
  466   -1    4 -15.8283318138  31.18417
  467   -1    4 -15.8283318139  31.12655
  468   -1    4 -15.8283318140  31.30568
  469   -1    4 -15.8283318141  31.24097
  470   -1    4 -15.8283318142  31.37706
  471   -1    4 -15.8283318143  31.41392
  472   -1    4 -15.8283318144  31.52106
  473   -1    4 -15.8283318145  31.45808
  474   -1    4 -15.8283318165  31.58720
  475   -1    4 -15.8283318166  31.61068
  476   -1    4 -15.8283318167  31.99384
  477   -1    4 -15.8283318168  31.72059
  478   -1    4 -15.8283318169  31.95582
  479   -1    4 -15.8283318170  31.91893
  480   -1    4 -15.8283318171  31.74405
  481   -1    4 -15.8283318172  31.80478
  482   -1    4 -15.8283318173  31.82505
  483   -1    4 -15.8283318174  31.86566
  484   -1    4 -15.8283318207  32.08515
  485   -1    4 -15.8283318208  32.17829
  486   -1    4 -15.8283318209  32.13946
  487   -1    4 -15.8283318210  32.05215
  488   -1    4 -15.8283318211  32.25352
  489   -1    4 -15.8283318212  32.28596
  490   -1    4 -15.8283318213  32.35508
  491   -1    4 -15.8283318219  32.39762
  492   -1    4 -15.8283318220  32.43499
  493   -1    4 -15.8283318221  32.47735
  494   -1    4 -15.8283318222  32.51088
  495   -1    4 -15.8283318223  32.54768
  496   -1    4 -15.8283318224  32.57388
  497   -1    4 -15.8283318225  32.64015
  498   -1    4 -15.8283318226  32.74533
  499   -1    4 -15.8283318227  32.76001
  500   -1    4 -15.8283318228  32.79866
  501   -1    4 -15.8283318229  32.85068
  502   -1    4 -15.8283318230  32.88096
  503   -1    4 -15.8283318231  32.91557
  504   -1    4 -15.8283318245  32.99064
  505   -1    4 -15.8283318246  33.01830
  506   -1    4 -15.8283318247  33.03337
  507   -1    4 -15.8283318248  33.08033
  508   -1    4 -15.8283318249  33.48929
  509   -1    4 -15.8283318250  33.10248
  510   -1    4 -15.8283318251  33.17012
  511   -1    4 -15.8283318252  33.44675
  512   -1    4 -15.8283318253  33.40865
  513   -1    4 -15.8283318254  33.27340
  514   -1    4 -15.8283318255  33.37197
  515   -1    4 -15.8283318256  33.35008
  516   -1    4 -15.8283318257  33.23269
  517   -1    4 -15.8283318258  33.23851
  518   -1    4 -15.8283318259  33.30912
  519   -1    4 -15.8283318303  33.50930
  520   -1    4 -15.8283318304  33.55877
  521   -1    4 -15.8283318305  33.61437
